0->1,1->2,2->3,3->4,4->5
1.01820113,0.967355153,0.9767772146,0.9885778857,1.033445158
0.870411604,1.564700325,0.49818684,1.269405598,0.7775702623
1.41562072,2.554017905,1.287532673,2.64472042,1.213650573
2.916360953,1.015729339,1.855232575,1.299025284,1.665668641
1.408357747,0.5110150425,1.178949214,0.7359217098,1.436314427
0.8123665739,1.04422114,0.8889295138,1.040301424,1.014047645
1.238574519,1.270778669,0.5429212094,1.223260832,0.9892809712
2.16294163,1.450452237,0.8762236328,2.102279106,1.675844593
