Iteration,g,Energy,Trace,Rescaled Energy,Exact Energy,Exact Trace,Params
1,0.4,-0.9169440514705557,0.04948612464448532,-0.979809656587424,-0.9971866311476362,2.033080901498439e-05,"[-0.00637562  0.00637562  0.00637562 -0.00637562  0.00637562  0.00637562
  0.00637562  0.00637562]"
2,0.4,-0.9331189016849364,0.043942441218159045,-0.9964165249260837,-0.9972246194434929,1.9757185408323698e-05,"[-0.00628499  0.00646626  0.00646626 -0.00646626  0.00628499  0.00646626
  0.00628499  0.00628499]"
3,0.4,-0.9313100859637692,0.07696206451552823,-0.9946355813419668,-0.9910115160138957,0.00023053691923462325,"[-0.02147094 -0.0087197  -0.0087197   0.0087197  -0.00890097  0.02165221
  0.02147094 -0.00890097]"
4,0.4,-0.9402497907433979,0.025488533637549216,-1.0041327288626007,-0.9915747912320512,0.0003194276960681898,"[-0.02020325 -0.00998738 -0.00998738  0.00745201 -0.01016866  0.0229199
  0.02020325 -0.00763328]"
5,0.4,-0.9427355225359855,0.05799391600372794,-1.0066602688607638,-0.9904313741522855,0.0002557185889600633,"[-0.0175407  -0.01264994 -0.00732483  0.01011456 -0.01283121  0.02558246
  0.02286581 -0.01029584]"
6,0.4,-0.947502523215716,0.09220420442876387,-1.011385461334919,-0.9913534724442797,0.00013653219034731948,"[-0.01551014 -0.0146805  -0.00529427  0.008084   -0.01486177  0.0235519
  0.02083525 -0.0123264 ]"
7,0.4,-0.9518132701180179,0.07404701266209113,-1.0156544000316454,-0.995853179733831,1.6743179393181352e-05,"[-0.00477142 -0.02541922  0.00544445 -0.00265471 -0.02560049  0.01281318
  0.01009653 -0.00158768]"
8,0.4,-0.9546710179975901,0.045881076427802814,-1.0185121479112176,-0.9986523131402464,7.619039457840496e-05,"[-0.0113289  -0.01886174  0.01200193 -0.00921219 -0.03215797  0.01937066
  0.00353905  0.0049698 ]"
9,0.4,-0.9429775911648433,0.0449737874211964,-1.0064563832968174,-0.9993965531513368,5.513653694597131e-05,"[-0.01317113 -0.01701951  0.01384415 -0.00736996 -0.03031574  0.02121289
  0.00169682  0.00312757]"
10,0.4,-0.9610724560717736,0.05420887029181154,-1.0250529466706526,-1.0026029108104466,0.00017325261351169852,"[-0.00506159 -0.00890997  0.0219537  -0.01547951 -0.03842528  0.02932243
 -0.00641272  0.01123711]"
