step,0->1,1->2,2->3,3->4,4->5
5.9,0.7140235098,0.68,0.69,0.78,0.79
5.95,0.6919315031,0.7,0.66,0.77,0.78
6,0.6691829329,0.71,0.63,0.77,0.76
6.05,0.6458972796,0.71,0.61,0.76,0.75
6.1,0.6222307583,0.71,0.58,0.75,0.73
6.15,0.5984078893,0.71,0.55,0.74,0.71
6.2,0.5747883217,0.71,0.53,0.72,0.7
6.25,0.552011629,0.7,0.5,0.71,0.68
6.3,0.5312902908,0.7,0.47,0.69,0.67
6.35,0.5147808205,0.69,0.45,0.67,0.65
6.4,0.5050315633,0.68,0.42,0.65,0.63
6.45,0.502284886,0.67,0.39,0.63,0.62
6.5,0.5036846843,0.65,0.37,0.61,0.6
6.55,0.5063267525,0.63,0.34,0.59,0.59
6.6,0.5087389833,0.62,0.32,0.56,0.57
6.65,0.5105264585,0.6,0.29,0.54,0.56
6.7,0.5118720084,0.58,0.3,0.51,0.54
6.75,0.5131894084,0.55,0.3,0.49,0.53
6.8,0.5148588628,0.53,0.31,0.46,0.52
6.85,0.5170555953,0.51,0.31,0.43,0.51
6.9,0.5197145925,0.48,0.32,0.41,0.49
6.95,0.522604003,,0.32,0.38,0.48
7,0.5254265771,,0.33,0.35,0.48
