0->1,1->2,2->3,3->4,4->5
1.009656485,0.9853156669,0.9928718225,0.9926598909,1.01654433
0.8638992963,0.6965406422,0.5675350735,0.6454656611,0.6551478488
0.5134703503,0.4647947916,0.3553187112,0.4813111158,0.3945276712
0.8205542712,0.3749411903,0.3690798859,0.3861877135,0.4774955387
0.90910701,0.6182901575,0.5712495996,0.6573081483,0.8176879298
1.007902114,0.9982510009,0.9178505704,1.008874521,0.9942179617
0.9561549069,0.6204322018,0.5713030897,0.6455851716,0.7833927401
0.7793608086,0.3535907501,0.3285814563,0.4285115549,0.4217876063
