0->1,1->2,2->3,3->4,4->5
0.8669258064,0.8805016636,0.8991751193,0.9181881145,0.9337888596
0.7060239866,0.6718206266,0.5550712759,0.8435904577,0.6273027614
0.5989831766,0.390116446,0.4237643576,0.3733869273,0.3660457113
0.6762558875,0.3484101593,0.4256661253,0.3439421429,0.3325325799
0.6553362662,0.6360578722,0.8426573986,0.6621594585,0.7175778353
0.9243395029,0.9348180349,0.9468824941,0.9553486809,0.9598726203
0.6691829329,0.6839545038,0.6333698191,0.7661862993,0.7628576326
0.5254265771,0.4795931324,0.3250500647,0.3497247315,0.4760857554
